,Opening ID,Softskill
265,85,Teamwork
266,86,Communication
267,86,Proactivity
268,86,Resilience
269,87,Complex Thinking
270,87,Leadership
271,87,Communication
272,87,Teamwork
273,88,Ethics
274,88,Teamwork
275,88,Resilience
276,89,Complex Thinking
277,89,Proactivity
278,89,Teamwork
279,90,Complex Thinking
280,90,Communication
281,90,Teamwork
282,90,Resilience
283,91,Complex Thinking
284,91,Proactivity
285,91,Resilience
286,92,Leadership
287,92,Communication
288,92,Emotional Intelligence
289,93,Leadership
290,93,Communication
291,93,Teamwork
292,94,Leadership
293,94,Proactivity
294,94,Ethics
295,95,Proactivity
296,95,Complex Thinking
297,95,Resilience
298,95,Communication
299,95,Teamwork
300,96,Complex Thinking
301,96,Leadership
302,96,Resilience
303,97,Complex Thinking
304,97,Leadership
305,97,Emotional Intelligence
306,98,Communication
307,98,Teamwork
308,98,Proactivity
309,99,Proactivity
310,99,Teamwork
311,99,Ethics
312,100,Complex Thinking
313,100,Teamwork
314,100,Ethics
315,101,Leadership
316,101,Proactivity
317,101,Communication
318,102,Communication
319,102,Emotional Intelligence
320,102,Teamwork
321,103,Ethics
322,103,Leadership
323,103,Resilience
324,104,Complex Thinking
325,104,Leadership
326,104,Proactivity
327,105,Proactivity
328,105,Emotional Intelligence
329,105,Resilience
330,105,Ethics
331,106,Teamwork
332,106,Resilience
333,106,Ethics
334,107,Complex Thinking
335,107,Proactivity
336,107,Teamwork
337,107,Resilience
338,108,Proactivity
339,108,Complex Thinking
340,108,Resilience
341,108,Communication
342,108,Teamwork
343,109,Complex Thinking
344,109,Leadership
345,109,Communication
346,110,Ethics
347,110,Proactivity
348,110,Resilience
349,111,Complex Thinking
350,111,Communication
351,111,Teamwork
352,112,Communication
353,112,Emotional Intelligence
354,112,Ethics
355,113,Ethics
356,113,Proactivity
357,113,Resilience
358,114,Leadership
359,114,Proactivity
360,114,Resilience
361,115,Complex Thinking
362,115,Leadership
363,115,Resilience
364,116,Proactivity
365,116,Teamwork
366,116,Resilience
367,117,Communication
368,117,Emotional Intelligence
369,117,Teamwork
370,118,Complex Thinking
371,118,Proactivity
372,118,Ethics
373,119,Complex Thinking
374,119,Proactivity
375,119,Emotional Intelligence
376,120,Complex Thinking
377,120,Leadership
378,120,Ethics
379,121,Complex Thinking
380,121,Leadership
381,121,Communication
382,122,Complex Thinking
383,122,Leadership
384,122,Proactivity
385,123,Complex Thinking
386,123,Proactivity
387,123,Teamwork
388,124,Communication
389,124,Teamwork
390,124,Proactivity
391,125,Complex Thinking
392,125,Communication
393,125,Proactivity
394,125,Resilience
395,126,Leadership
396,126,Emotional Intelligence
397,126,Teamwork
398,126,Resilience
399,127,Leadership
400,127,Resilience
401,127,Ethics
402,128,Complex Thinking
403,128,Communication
404,128,Emotional Intelligence
405,129,Complex Thinking
406,129,Leadership
407,129,Resilience
408,130,Leadership
409,130,Complex Thinking
410,130,Resilience
411,130,Communication
412,130,Teamwork
413,131,Ethics
414,131,Proactivity
415,131,Resilience
416,132,Proactivity
417,132,Emotional Intelligence
418,132,Ethics
419,133,Complex Thinking
420,133,Communication
421,133,Ethics
422,134,Complex Thinking
423,134,Communication
424,134,Ethics
425,135,Communication
426,135,Emotional Intelligence
427,135,Proactivity
428,135,Ethics
429,136,Communication
430,136,Emotional Intelligence
431,136,Proactivity
432,137,Proactivity
433,137,Teamwork
434,137,Resilience
435,137,Ethics
436,138,Complex Thinking
437,138,Communication
438,138,Resilience
439,139,Proactivity
440,139,Emotional Intelligence
441,139,Resilience
442,140,Emotional Intelligence
443,140,Proactivity
444,140,Complex Thinking
445,140,Communication
446,140,Teamwork
447,141,Complex Thinking
448,141,Teamwork
449,141,Resilience
450,142,Complex Thinking
451,142,Emotional Intelligence
452,142,Resilience
453,143,Communication
454,143,Proactivity
455,143,Ethics
456,144,Complex Thinking
457,144,Proactivity
458,144,Emotional Intelligence
459,145,Leadership
460,145,Proactivity
461,145,Teamwork
462,145,Ethics
463,146,Leadership
464,146,Proactivity
465,146,Complex Thinking
466,146,Communication
467,146,Teamwork
468,147,Communication
469,147,Emotional Intelligence
470,147,Resilience
471,147,Ethics
472,148,Complex Thinking
473,148,Proactivity
474,148,Resilience
475,149,Complex Thinking
476,149,Leadership
477,149,Proactivity
478,150,Leadership
479,150,Communication
480,150,Emotional Intelligence
481,151,Complex Thinking
482,151,Emotional Intelligence
483,151,Ethics
484,152,Complex Thinking
485,152,Communication
486,152,Ethics
487,153,Complex Thinking
488,153,Communication
489,153,Emotional Intelligence
490,154,Complex Thinking
491,154,Leadership
492,154,Communication
493,154,Ethics
494,155,Complex Thinking
495,155,Communication
496,155,Resilience
497,156,Complex Thinking
498,156,Teamwork
499,156,Resilience
500,157,Complex Thinking
501,157,Communication
502,157,Proactivity
503,158,Leadership
504,158,Proactivity
505,158,Communication
506,159,Leadership
507,159,Proactivity
508,159,Emotional Intelligence
509,160,Complex Thinking
510,160,Leadership
511,160,Communication
512,161,Complex Thinking
513,161,Leadership
514,161,Teamwork
515,162,Ethics
516,162,Teamwork
517,162,Resilience
518,163,Communication
519,163,Teamwork
520,163,Proactivity
521,164,Proactivity
522,164,Complex Thinking
523,164,Resilience
524,164,Communication
525,164,Teamwork
526,165,Proactivity
527,165,Emotional Intelligence
528,165,Communication
529,166,Leadership
530,166,Proactivity
531,166,Resilience
532,167,Leadership
533,167,Communication
534,167,Emotional Intelligence
535,167,Proactivity
536,168,Complex Thinking
537,168,Communication
538,168,Emotional Intelligence
539,168,Resilience
540,169,Complex Thinking
541,169,Communication
542,169,Ethics
543,170,Leadership
544,170,Communication
545,170,Emotional Intelligence
546,171,Complex Thinking
547,171,Leadership
548,171,Communication
549,172,Communication
550,172,Teamwork
551,172,Proactivity
552,173,Leadership
553,173,Communication
554,173,Emotional Intelligence
555,174,Communication
556,174,Teamwork
557,174,Ethics
558,175,Leadership
559,175,Communication
560,175,Emotional Intelligence
561,176,Complex Thinking
562,176,Teamwork
563,176,Resilience
564,177,Complex Thinking
565,177,Teamwork
566,177,Ethics
567,178,Teamwork
568,178,Resilience
569,178,Ethics
570,179,Complex Thinking
571,179,Leadership
572,179,Resilience
573,180,Complex Thinking
574,180,Communication
575,180,Emotional Intelligence
576,181,Leadership
577,181,Communication
578,181,Proactivity
579,182,Complex Thinking
580,182,Communication
581,182,Teamwork
582,183,Complex Thinking
583,183,Teamwork
584,183,Resilience
585,184,Communication
586,184,Emotional Intelligence
587,184,Ethics
588,185,Complex Thinking
589,185,Leadership
590,185,Communication
591,185,Ethics
592,186,Communication
593,186,Emotional Intelligence
594,186,Resilience
595,187,Complex Thinking
596,187,Proactivity
597,187,Teamwork
598,187,Resilience
599,188,Complex Thinking
600,188,Proactivity
601,188,Teamwork
602,189,Communication
603,189,Resilience
604,189,Ethics
605,190,Proactivity
606,190,Teamwork
607,190,Communication
608,191,Complex Thinking
609,191,Leadership
610,191,Emotional Intelligence
611,192,Communication
612,192,Teamwork
613,192,Resilience
614,193,Complex Thinking
615,193,Leadership
616,193,Communication
617,193,Resilience
618,194,Leadership
619,194,Communication
620,194,Emotional Intelligence
621,195,Complex Thinking
622,195,Communication
623,195,Teamwork
624,195,Proactivity
625,196,Leadership
626,196,Emotional Intelligence
627,196,Teamwork
628,196,Ethics
629,197,Communication
630,197,Teamwork
631,197,Proactivity
632,198,Proactivity
633,198,Teamwork
634,198,Resilience
635,199,Leadership
636,199,Communication
637,199,Proactivity
638,200,Proactivity
639,200,Resilience
640,200,Ethics
641,201,Complex Thinking
642,201,Proactivity
643,201,Resilience
644,202,Complex Thinking
645,202,Proactivity
646,202,Resilience
647,203,Complex Thinking
648,203,Teamwork
649,203,Resilience
650,204,Complex Thinking
651,204,Leadership
652,204,Communication
653,204,Resilience
654,205,Proactivity
655,205,Emotional Intelligence
656,205,Resilience
657,206,Complex Thinking
658,206,Leadership
659,206,Proactivity
660,206,Ethics
661,207,Complex Thinking
662,207,Proactivity
663,207,Communication
664,208,Leadership
665,208,Proactivity
666,208,Resilience
667,209,Complex Thinking
668,209,Communication
669,209,Teamwork
670,209,Proactivity
671,210,Ethics
672,210,Communication
673,210,Complex Thinking
674,210,Resilience
675,211,Leadership
676,211,Communication
677,211,Emotional Intelligence
678,212,Proactivity
679,212,Complex Thinking
680,212,Resilience
681,212,Communication
682,212,Teamwork
683,213,Proactivity
684,213,Resilience
685,213,Ethics
686,214,Communication
687,214,Teamwork
688,214,Resilience
689,215,Communication
690,215,Emotional Intelligence
691,215,Ethics
692,216,Leadership
693,216,Proactivity
694,216,Resilience
695,217,Leadership
696,217,Emotional Intelligence
697,217,Teamwork
698,218,Complex Thinking
699,218,Proactivity
700,218,Emotional Intelligence
701,219,Complex Thinking
702,219,Emotional Intelligence
703,219,Teamwork
704,220,Complex Thinking
705,220,Communication
706,220,Proactivity
707,221,Proactivity
708,221,Teamwork
709,221,Communication
710,222,Complex Thinking
711,222,Leadership
712,222,Resilience
713,223,Complex Thinking
714,223,Teamwork
715,223,Resilience
716,224,Complex Thinking
717,224,Leadership
718,224,Proactivity
719,224,Emotional Intelligence
720,225,Leadership
721,225,Communication
722,225,Proactivity
723,226,Leadership
724,226,Proactivity
725,226,Teamwork
726,227,Complex Thinking
727,227,Communication
728,227,Emotional Intelligence
729,228,Complex Thinking
730,228,Leadership
731,228,Communication
732,229,Leadership
733,229,Resilience
734,229,Ethics
735,230,Complex Thinking
736,230,Leadership
737,230,Communication
738,231,Complex Thinking
739,231,Proactivity
740,231,Communication
741,232,Complex Thinking
742,232,Leadership
743,232,Teamwork
744,232,Ethics
745,233,Complex Thinking
746,233,Proactivity
747,233,Communication
748,233,Ethics
749,234,Complex Thinking
750,234,Communication
751,234,Teamwork
752,235,Complex Thinking
753,235,Communication
754,235,Teamwork
755,236,Complex Thinking
756,236,Leadership
757,236,Communication
758,237,Leadership
759,237,Proactivity
760,237,Teamwork
761,237,Ethics
762,238,Complex Thinking
763,238,Leadership
764,238,Emotional Intelligence
765,239,Complex Thinking
766,239,Proactivity
767,239,Teamwork
768,239,Communication
769,240,Complex Thinking
770,240,Communication
771,240,Emotional Intelligence
772,241,Complex Thinking
773,241,Emotional Intelligence
774,241,Ethics
775,242,Communication
776,242,Emotional Intelligence
777,242,Teamwork
778,243,Complex Thinking
779,243,Proactivity
780,243,Resilience
781,244,Complex Thinking
782,244,Proactivity
783,244,Teamwork
784,245,Emotional Intelligence
785,245,Teamwork
786,245,Resilience
787,246,Proactivity
788,246,Teamwork
789,246,Ethics
790,247,Proactivity
791,247,Communication
792,247,Ethics
793,248,Proactivity
794,248,Emotional Intelligence
795,248,Ethics
796,249,Leadership
797,249,Proactivity
798,249,Ethics
799,250,Proactivity
800,250,Emotional Intelligence
801,250,Teamwork
802,251,Ethics
803,251,Emotional Intelligence
804,251,Resilience
805,252,Proactivity
806,252,Emotional Intelligence
807,252,Communication
808,253,Complex Thinking
809,253,Leadership
810,253,Proactivity
811,254,Complex Thinking
812,254,Leadership
813,254,Communication
814,254,Resilience
815,255,Teamwork
816,255,Resilience
817,255,Ethics
818,256,Complex Thinking
819,256,Communication
820,256,Emotional Intelligence
821,257,Proactivity
822,257,Teamwork
823,257,Resilience
824,258,Leadership
825,258,Communication
826,258,Emotional Intelligence
827,259,Leadership
828,259,Teamwork
829,259,Ethics
830,260,Complex Thinking
831,260,Communication
832,260,Resilience
833,261,Leadership
834,261,Resilience
835,261,Ethics
836,262,Complex Thinking
837,262,Communication
838,262,Resilience
839,263,Leadership
840,263,Teamwork
841,263,Resilience
842,263,Ethics
843,264,Leadership
844,264,Communication
845,264,Emotional Intelligence
846,265,Complex Thinking
847,265,Communication
848,265,Emotional Intelligence
849,266,Leadership
850,266,Complex Thinking
851,266,Ethics
852,266,Proactivity
853,266,Teamwork
854,267,Leadership
855,267,Communication
856,267,Teamwork
857,268,Leadership
858,268,Communication
859,268,Teamwork
860,269,Complex Thinking
861,269,Communication
862,269,Teamwork
863,270,Complex Thinking
864,270,Communication
865,270,Emotional Intelligence
866,270,Resilience
867,271,Complex Thinking
868,271,Leadership
869,271,Communication
870,272,Complex Thinking
871,272,Leadership
872,272,Resilience
873,273,Proactivity
874,273,Resilience
875,273,Ethics
876,274,Communication
877,274,Proactivity
878,274,Ethics
879,275,Complex Thinking
880,275,Communication
881,275,Resilience
882,276,Leadership
883,276,Proactivity
884,276,Emotional Intelligence
885,277,Ethics
886,277,Leadership
887,277,Resilience
888,278,Complex Thinking
889,278,Teamwork
890,278,Ethics
891,279,Proactivity
892,279,Resilience
893,279,Ethics
894,280,Leadership
895,280,Proactivity
896,280,Ethics
897,281,Complex Thinking
898,281,Ethics
899,281,Resilience
900,282,Complex Thinking
901,282,Emotional Intelligence
902,282,Resilience
903,283,Emotional Intelligence
904,283,Teamwork
905,283,Resilience
906,284,Complex Thinking
907,284,Leadership
908,284,Resilience
909,285,Communication
910,285,Emotional Intelligence
911,285,Ethics
912,286,Complex Thinking
913,286,Leadership
914,286,Emotional Intelligence
915,287,Complex Thinking
916,287,Communication
917,287,Emotional Intelligence
918,288,Communication
919,288,Emotional Intelligence
920,288,Proactivity
921,288,Ethics
922,289,Complex Thinking
923,289,Emotional Intelligence
924,289,Resilience
925,290,Complex Thinking
926,290,Communication
927,290,Emotional Intelligence
928,290,Resilience
929,291,Complex Thinking
930,291,Communication
931,291,Proactivity
932,292,Proactivity
933,292,Emotional Intelligence
934,292,Communication
935,292,Resilience
936,293,Complex Thinking
937,293,Emotional Intelligence
938,293,Resilience
939,294,Proactivity
940,294,Resilience
941,294,Ethics
942,295,Communication
943,295,Teamwork
944,295,Resilience
945,296,Proactivity
946,296,Emotional Intelligence
947,296,Teamwork
948,296,Ethics
949,297,Ethics
950,297,Leadership
951,297,Resilience
952,298,Communication
953,298,Proactivity
954,298,Ethics
955,299,Complex Thinking
956,299,Communication
957,299,Ethics
958,300,Complex Thinking
959,300,Communication
960,300,Resilience
961,301,Communication
962,301,Emotional Intelligence
963,301,Teamwork
964,302,Complex Thinking
965,302,Leadership
966,302,Teamwork
967,303,Complex Thinking
968,303,Communication
969,303,Ethics
970,304,Complex Thinking
971,304,Proactivity
972,304,Teamwork
973,305,Leadership
974,305,Proactivity
975,305,Teamwork
976,306,Proactivity
977,306,Teamwork
978,306,Communication
979,307,Complex Thinking
980,307,Leadership
981,307,Teamwork
982,308,Communication
983,308,Resilience
984,308,Ethics
985,309,Proactivity
986,309,Resilience
987,309,Ethics
988,310,Communication
989,310,Emotional Intelligence
990,310,Resilience
991,311,Complex Thinking
992,311,Leadership
993,311,Emotional Intelligence
994,311,Ethics
995,312,Complex Thinking
996,312,Proactivity
997,312,Teamwork
998,312,Resilience
999,313,Proactivity
1000,313,Emotional Intelligence
1001,313,Resilience
1002,314,Communication
1003,314,Emotional Intelligence
1004,314,Ethics
1005,315,Complex Thinking
1006,315,Communication
1007,315,Teamwork
1008,316,Complex Thinking
1009,316,Communication
1010,316,Emotional Intelligence
1011,317,Communication
1012,317,Teamwork
1013,317,Ethics
1014,318,Emotional Intelligence
1015,318,Proactivity
1016,318,Ethics
1017,318,Communication
1018,318,Teamwork
1019,319,Complex Thinking
1020,319,Communication
1021,319,Emotional Intelligence
1022,319,Resilience
1023,320,Communication
1024,320,Emotional Intelligence
1025,320,Complex Thinking
1026,320,Proactivity
1027,320,Teamwork
1028,321,Complex Thinking
1029,321,Communication
1030,321,Emotional Intelligence
1031,321,Ethics
1032,322,Complex Thinking
1033,322,Communication
1034,322,Proactivity
1035,322,Resilience
1036,323,Complex Thinking
1037,323,Communication
1038,323,Teamwork
1039,324,Complex Thinking
1040,324,Leadership
1041,324,Resilience
1042,325,Complex Thinking
1043,325,Proactivity
1044,325,Communication
1045,326,Complex Thinking
1046,326,Communication
1047,326,Teamwork
1048,326,Proactivity
1049,327,Complex Thinking
1050,327,Emotional Intelligence
1051,327,Ethics
1052,328,Proactivity
1053,328,Teamwork
1054,328,Resilience
1055,329,Complex Thinking
1056,329,Communication
1057,329,Teamwork
1058,329,Proactivity
1059,330,Leadership
1060,330,Emotional Intelligence
1061,330,Teamwork
1062,331,Communication
1063,331,Emotional Intelligence
1064,331,Proactivity
1065,332,Communication
1066,332,Emotional Intelligence
1067,332,Ethics
1068,333,Complex Thinking
1069,333,Emotional Intelligence
1070,333,Resilience
1071,334,Proactivity
1072,334,Emotional Intelligence
1073,334,Communication
1074,335,Communication
1075,335,Emotional Intelligence
1076,335,Resilience
1077,336,Complex Thinking
1078,336,Communication
1079,336,Teamwork
1080,337,Complex Thinking
1081,337,Leadership
1082,337,Teamwork
1083,338,Proactivity
1084,338,Resilience
1085,338,Ethics
1086,339,Communication
1087,339,Emotional Intelligence
1088,339,Proactivity
1089,340,Communication
1090,340,Teamwork
1091,340,Proactivity
1092,341,Ethics
1093,341,Communication
1094,341,Resilience
1095,342,Complex Thinking
1096,342,Communication
1097,342,Teamwork
1098,342,Proactivity
1099,343,Complex Thinking
1100,343,Communication
1101,343,Teamwork
1102,344,Emotional Intelligence
1103,344,Teamwork
1104,344,Resilience
1105,345,Complex Thinking
1106,345,Communication
1107,345,Resilience
1108,346,Complex Thinking
1109,346,Proactivity
1110,346,Emotional Intelligence
1111,347,Complex Thinking
1112,347,Emotional Intelligence
1113,347,Resilience
1114,348,Complex Thinking
1115,348,Communication
1116,348,Teamwork
1117,348,Proactivity
1118,349,Communication
1119,349,Emotional Intelligence
1120,349,Teamwork
1121,350,Complex Thinking
1122,350,Emotional Intelligence
1123,350,Resilience
1124,351,Complex Thinking
1125,351,Leadership
1126,351,Proactivity
1127,352,Complex Thinking
1128,352,Emotional Intelligence
1129,352,Teamwork
1130,353,Complex Thinking
1131,353,Leadership
1132,353,Resilience
1133,354,Complex Thinking
1134,354,Communication
1135,354,Ethics
1136,355,Complex Thinking
1137,355,Leadership
1138,355,Teamwork
1139,355,Ethics
1140,356,Complex Thinking
1141,356,Proactivity
1142,356,Communication
1143,357,Complex Thinking
1144,357,Leadership
1145,357,Emotional Intelligence
1146,357,Teamwork
1147,358,Proactivity
1148,358,Teamwork
1149,358,Communication
1150,359,Ethics
1151,359,Proactivity
1152,359,Resilience
1153,360,Communication
1154,360,Emotional Intelligence
1155,360,Ethics
1156,361,Complex Thinking
1157,361,Leadership
1158,361,Resilience
1159,362,Communication
1160,362,Emotional Intelligence
1161,362,Ethics
1162,363,Complex Thinking
1163,363,Communication
1164,363,Emotional Intelligence
1165,363,Proactivity
1166,364,Complex Thinking
1167,364,Resilience
1168,364,Ethics
1169,365,Proactivity
1170,365,Emotional Intelligence
1171,365,Ethics
1172,366,Leadership
1173,366,Communication
1174,366,Emotional Intelligence
1175,367,Proactivity
1176,367,Teamwork
1177,367,Communication
1178,368,Leadership
1179,368,Communication
1180,368,Emotional Intelligence
1181,368,Teamwork
1182,369,Communication
1183,369,Teamwork
1184,369,Ethics
1185,370,Complex Thinking
1186,370,Leadership
1187,370,Teamwork
1188,371,Communication
1189,371,Teamwork
1190,371,Ethics
1191,372,Complex Thinking
1192,372,Communication
1193,372,Ethics
1194,373,Complex Thinking
1195,373,Emotional Intelligence
1196,373,Resilience
1197,374,Complex Thinking
1198,374,Teamwork
1199,374,Resilience
1200,375,Complex Thinking
1201,375,Leadership
1202,375,Proactivity
1203,375,Ethics
1204,376,Complex Thinking
1205,376,Leadership
1206,376,Proactivity
1207,377,Complex Thinking
1208,377,Emotional Intelligence
1209,377,Ethics
1210,378,Proactivity
1211,378,Resilience
1212,378,Ethics
1213,379,Complex Thinking
1214,379,Communication
1215,379,Proactivity
1216,380,Emotional Intelligence
1217,380,Teamwork
1218,380,Ethics
1219,381,Complex Thinking
1220,381,Communication
1221,381,Proactivity
1222,382,Ethics
1223,382,Communication
1224,382,Resilience
1225,383,Ethics
1226,383,Leadership
1227,383,Resilience
1228,384,Complex Thinking
1229,384,Emotional Intelligence
1230,384,Resilience
1231,385,Proactivity
1232,385,Emotional Intelligence
1233,385,Teamwork
1234,386,Leadership
1235,386,Communication
1236,386,Proactivity
1237,387,Complex Thinking
1238,387,Communication
1239,387,Teamwork
1240,388,Communication
1241,388,Emotional Intelligence
1242,388,Ethics
1243,389,Communication
1244,389,Teamwork
1245,389,Proactivity
1246,390,Communication
1247,390,Emotional Intelligence
1248,390,Resilience
1249,391,Complex Thinking
1250,391,Communication
1251,391,Resilience
1252,392,Complex Thinking
1253,392,Communication
1254,392,Teamwork
1255,393,Complex Thinking
1256,393,Communication
1257,393,Teamwork
1258,393,Proactivity
1259,394,Complex Thinking
1260,394,Communication
1261,394,Teamwork
1262,394,Proactivity
1263,395,Proactivity
1264,395,Complex Thinking
1265,395,Resilience
1266,395,Communication
1267,395,Teamwork
1268,396,Complex Thinking
1269,396,Leadership
1270,396,Resilience
1271,397,Proactivity
1272,397,Resilience
1273,397,Ethics
1274,398,Leadership
1275,398,Resilience
1276,398,Ethics
1277,399,Proactivity
1278,399,Teamwork
1279,399,Ethics
1280,400,Complex Thinking
1281,400,Proactivity
1282,400,Teamwork
1283,400,Resilience
1284,401,Communication
1285,401,Proactivity
1286,401,Ethics
1287,402,Ethics
1288,402,Emotional Intelligence
1289,402,Resilience
1290,403,Communication
1291,403,Emotional Intelligence
1292,403,Teamwork
1293,404,Leadership
1294,404,Proactivity
1295,404,Teamwork
1296,405,Complex Thinking
1297,405,Leadership
1298,405,Teamwork
1299,406,Complex Thinking
1300,406,Leadership
1301,406,Proactivity
1302,406,Ethics
1303,407,Ethics
1304,407,Proactivity
1305,407,Communication
1306,407,Resilience
1307,408,Complex Thinking
1308,408,Proactivity
1309,408,Teamwork
1310,409,Communication
1311,409,Emotional Intelligence
1312,409,Teamwork
1313,410,Complex Thinking
1314,410,Proactivity
1315,410,Teamwork
1316,411,Complex Thinking
1317,411,Emotional Intelligence
1318,411,Ethics
1319,412,Complex Thinking
1320,412,Proactivity
1321,412,Teamwork
1322,412,Resilience
1323,413,Complex Thinking
1324,413,Proactivity
1325,413,Communication
1326,413,Ethics
1327,414,Complex Thinking
1328,414,Ethics
1329,414,Resilience
1330,415,Complex Thinking
1331,415,Communication
1332,415,Emotional Intelligence
1333,416,Proactivity
1334,416,Complex Thinking
1335,416,Resilience
1336,416,Communication
1337,416,Teamwork
1338,417,Complex Thinking
1339,417,Proactivity
1340,417,Teamwork
1341,418,Complex Thinking
1342,418,Proactivity
1343,418,Emotional Intelligence
1344,418,Teamwork
1345,419,Complex Thinking
1346,419,Communication
